#HIERARCHY,CODE SCHEME,STANDARD IDENTITY,BATTLE DIMENSION,STATUS,FUNCTION ID,SIZE/MOBILITY,COUNTRY CODE,ORDER OF BATTLE,DESCRIPTION
WAR,S,-,-,-,------,**,**,*,WARFIGHTINGSYMBOLS
WAR.SPC,S,*,P,*,------,**,**,*,SPACETRACK
WAR.SPC.SAT,S,*,P,*,S-----,**,**,*,SATELLITE
WAR.SPC.CSV,S,*,P,*,V-----,**,**,*,CREWEDSPACEVEHICLE
WAR.SPC.SST,S,*,P,*,T-----,**,**,*,SPACESTATION
WAR.SPC.SLV,S,*,P,*,L-----,**,**,*,SPACELAUNCHVEHICLE
WAR.AIRTRK,S,*,A,*,------,**,**,*,AIRTRACK
WAR.AIRTRK.MIL,S,*,A,*,M-----,**,**,*,MILITARY
WAR.AIRTRK.MIL.FIXD,S,*,A,*,MF----,**,**,*,FIXEDWING
WAR.AIRTRK.MIL.FIXD.BMB,S,*,A,*,MFB---,**,**,*,BOMBER
WAR.AIRTRK.MIL.FIXD.FTR,S,*,A,*,MFF---,**,**,*,FIGHTER
WAR.AIRTRK.MIL.FIXD.FTR.INCR,S,*,A,*,MFFI--,**,**,*,INTERCEPTOR
WAR.AIRTRK.MIL.FIXD.TNE,S,*,A,*,MFT---,**,**,*,TRAINER
WAR.AIRTRK.MIL.FIXD.ATK,S,*,A,*,MFA---,**,**,*,ATTACK/STRIKE
WAR.AIRTRK.MIL.FIXD.VSTOL,S,*,A,*,MFL---,**,**,*,V/STOL
WAR.AIRTRK.MIL.FIXD.TNK,S,*,A,*,MFK---,**,**,*,TANKER
WAR.AIRTRK.MIL.FIXD.TNK.BOOM,S,*,A,*,MFKB--,**,**,*,TANKERBOOM-ONLY
WAR.AIRTRK.MIL.FIXD.TNK.DROG,S,*,A,*,MFKD--,**,**,*,TANKERDROGUE-ONLY
WAR.AIRTRK.MIL.FIXD.CGOALT,S,*,A,*,MFC---,**,**,*,CARGOAIRLIFT(TRANSPORT)
WAR.AIRTRK.MIL.FIXD.CGOALT.LIT,S,*,A,*,MFCL--,**,**,*,CARGOAIRLIFT(LIGHT)
WAR.AIRTRK.MIL.FIXD.CGOALT.MDM,S,*,A,*,MFCM--,**,**,*,CARGOAIRLIFT(MEDIUM)
WAR.AIRTRK.MIL.FIXD.CGOALT.HVY,S,*,A,*,MFCH--,**,**,*,CARGOAIRLIFT(HEAVY)
WAR.AIRTRK.MIL.FIXD.ECM,S,*,A,*,MFJ---,**,**,*,ELECTRONICCOUNTERMEASURES(ECM/JAMMER)
WAR.AIRTRK.MIL.FIXD.MEDV,S,*,A,*,MFO---,**,**,*,MEDICALEVACUATION(MEDEVAC)
WAR.AIRTRK.MIL.FIXD.RECON,S,*,A,*,MFR---,**,**,*,RECONNAISSANCE
WAR.AIRTRK.MIL.FIXD.RECON.ABNEW,S,*,A,*,MFRW--,**,**,*,AIRBORNEEARLYWARNING(AEW)
WAR.AIRTRK.MIL.FIXD.RECON.ESM,S,*,A,*,MFRZ--,**,**,*,ELECTRONICSURVEILLANCEMEASURES
WAR.AIRTRK.MIL.FIXD.RECON.PHG,S,*,A,*,MFRX--,**,**,*,PHOTOGRAPHIC
WAR.AIRTRK.MIL.FIXD.PAT,S,*,A,*,MFP---,**,**,*,PATROL
WAR.AIRTRK.MIL.FIXD.PAT.ASUW,S,*,A,*,MFPN--,**,**,*,ANTISURFACEWARFARE(ASUW)
WAR.AIRTRK.MIL.FIXD.PAT.MNECM,S,*,A,*,MFPM--,**,**,*,MINECOUNTERMEASURES
WAR.AIRTRK.MIL.FIXD.UTY,S,*,A,*,MFU---,**,**,*,UTILITY
WAR.AIRTRK.MIL.FIXD.UTY.LIT,S,*,A,*,MFUL--,**,**,*,UTILITY(LIGHT)
WAR.AIRTRK.MIL.FIXD.UTY.MDM,S,*,A,*,MFUM--,**,**,*,UTILITY(MEDIUM)
WAR.AIRTRK.MIL.FIXD.UTY.HVY,S,*,A,*,MFUH--,**,**,*,UTILITY(HEAVY)
WAR.AIRTRK.MIL.FIXD.COMM,S,*,A,*,MFY---,**,**,*,COMMUNICATIONS
WAR.AIRTRK.MIL.FIXD.CSAR,S,*,A,*,MFH---,**,**,*,COMBATSEARCHANDRESCUE(CSAR)
WAR.AIRTRK.MIL.FIXD.ABNCP,S,*,A,*,MFD---,**,**,*,AIRBORNECOMMANDPOST(C2)
WAR.AIRTRK.MIL.FIXD.DRN,S,*,A,*,MFQ---,**,**,*,DRONE(RPV/UA)
WAR.AIRTRK.MIL.FIXD.DRN.ATK,S,*,A,*,MFQA--,**,**,*,ATTACK
WAR.AIRTRK.MIL.FIXD.DRN.BMB,S,*,A,*,MFQB--,**,**,*,BOMBER
WAR.AIRTRK.MIL.FIXD.DRN.CGO,S,*,A,*,MFQC--,**,**,*,CARGO
WAR.AIRTRK.MIL.FIXD.DRN.ABNCP,S,*,A,*,MFQD--,**,**,*,AIRBORNECOMMANDPOST
WAR.AIRTRK.MIL.FIXD.DRN.FTR,S,*,A,*,MFQF--,**,**,*,FIGHTER
WAR.AIRTRK.MIL.FIXD.DRN.CSAR,S,*,A,*,MFQH--,**,**,*,SEARCH&RESCUE(CSAR)
WAR.AIRTRK.MIL.FIXD.DRN.ECM,S,*,A,*,MFQJ--,**,**,*,ELECTRONICCOUNTERMEASURES(JAMMER)
WAR.AIRTRK.MIL.FIXD.DRN.TNK,S,*,A,*,MFQK--,**,**,*,TANKER
WAR.AIRTRK.MIL.FIXD.DRN.VSTOL,S,*,A,*,MFQL--,**,**,*,V/STOL
WAR.AIRTRK.MIL.FIXD.DRN.SOF,S,*,A,*,MFQM--,**,**,*,SPECIALOPERATIONSFORCES(SOF)
WAR.AIRTRK.MIL.FIXD.DRN.MNECM,S,*,A,*,MFQI--,**,**,*,MINECOUNTERMEASURES
WAR.AIRTRK.MIL.FIXD.DRN.ASUW,S,*,A,*,MFQN--,**,**,*,ANTISURFACEWARFARE(ASUW)
WAR.AIRTRK.MIL.FIXD.DRN.PAT,S,*,A,*,MFQP--,**,**,*,PATROL
WAR.AIRTRK.MIL.FIXD.DRN.RECON,S,*,A,*,MFQR--,**,**,*,RECONNAISSANCE
WAR.AIRTRK.MIL.FIXD.DRN.RECON.ABNEW,S,*,A,*,MFQRW-,**,**,*,AIRBORNEEARLYWARNING(AEW)
WAR.AIRTRK.MIL.FIXD.DRN.RECON.ESM,S,*,A,*,MFQRZ-,**,**,*,ELECTRONICSURVEILLANCEMEASURES
WAR.AIRTRK.MIL.FIXD.DRN.RECON.PHG,S,*,A,*,MFQRX-,**,**,*,PHOTOGRAPHIC
WAR.AIRTRK.MIL.FIXD.DRN.ASBW,S,*,A,*,MFQS--,**,**,*,ANTISUBMARINEWARFARE(ASW)
WAR.AIRTRK.MIL.FIXD.DRN.TNE,S,*,A,*,MFQT--,**,**,*,TRAINER
WAR.AIRTRK.MIL.FIXD.DRN.UTY,S,*,A,*,MFQU--,**,**,*,UTILITY
WAR.AIRTRK.MIL.FIXD.DRN.COMM,S,*,A,*,MFQY--,**,**,*,COMMUNICATIONS
WAR.AIRTRK.MIL.FIXD.DRN.MEDV,S,*,A,*,MFQO--,**,**,*,MEDEVAC
WAR.AIRTRK.MIL.FIXD.ASBWCB,S,*,A,*,MFS---,**,**,*,ANTISUBMARINEWARFARE(ASW)CARRIERBASED
WAR.AIRTRK.MIL.FIXD.SOF,S,*,A,*,MFM---,**,**,*,SPECIALOPERATIONSFORCES(SOF)
WAR.AIRTRK.MIL.ROT,S,*,A,*,MH----,**,**,*,ROTARYWING
WAR.AIRTRK.MIL.ROT.ATK,S,*,A,*,MHA---,**,**,*,ATTACK
WAR.AIRTRK.MIL.ROT.ASBW,S,*,A,*,MHS---,**,**,*,ANTISUBMARINEWARFARE/MPA
WAR.AIRTRK.MIL.ROT.UTY,S,*,A,*,MHU---,**,**,*,UTILITY
WAR.AIRTRK.MIL.ROT.UTY.LIT,S,*,A,*,MHUL--,**,**,*,UTILITY(LIGHT)
WAR.AIRTRK.MIL.ROT.UTY.MDM,S,*,A,*,MHUM--,**,**,*,UTILITY(MEDIUM)
WAR.AIRTRK.MIL.ROT.UTY.HVY,S,*,A,*,MHUH--,**,**,*,UTILITY(HEAVY)
WAR.AIRTRK.MIL.ROT.MNECM,S,*,A,*,MHI---,**,**,*,MINECOUNTERMEASURES
WAR.AIRTRK.MIL.ROT.CSAR,S,*,A,*,MHH---,**,**,*,COMBATSEARCHANDRESCUE(CSAR)
WAR.AIRTRK.MIL.ROT.RECON,S,*,A,*,MHR---,**,**,*,RECONNAISSANCE
WAR.AIRTRK.MIL.ROT.DRN,S,*,A,*,MHQ---,**,**,*,DRONE(RPV/UA)
WAR.AIRTRK.MIL.ROT.CGOALT,S,*,A,*,MHC---,**,**,*,CARGOAIRLIFT(TRANSPORT)
WAR.AIRTRK.MIL.ROT.CGOALT.LIT,S,*,A,*,MHCL--,**,**,*,CARGOAIRLIFT(LIGHT)
WAR.AIRTRK.MIL.ROT.CGOALT.MDM,S,*,A,*,MHCM--,**,**,*,CARGOAIRLIFT(MEDIUM)
WAR.AIRTRK.MIL.ROT.CGOALT.HVY,S,*,A,*,MHCH--,**,**,*,CARGOAIRLIFT(HEAVY)
WAR.AIRTRK.MIL.ROT.TNE,S,*,A,*,MHT---,**,**,*,TRAINER
WAR.AIRTRK.MIL.ROT.MEDV,S,*,A,*,MHO---,**,**,*,MEDEVAC
WAR.AIRTRK.MIL.ROT.SOF,S,*,A,*,MHM---,**,**,*,SPECIALOPERATIONSFORCES(SOF)
WAR.AIRTRK.MIL.ROT.ABNCP,S,*,A,*,MHD---,**,**,*,AIRBORNECOMMANDPOST(C2)
WAR.AIRTRK.MIL.ROT.TNK,S,*,A,*,MHK---,**,**,*,TANKER
WAR.AIRTRK.MIL.ROT.ECM,S,*,A,*,MHJ---,**,**,*,ELECTRONICCOUNTERMEASURES(ECM/JAMMER)
WAR.AIRTRK.MIL.LTA,S,*,A,*,ML----,**,**,*,LIGHTERTHANAIR
WAR.AIRTRK.MIL.VIP,S,*,A,*,MV----,**,**,*,VERYIMPORTANTPERSON(VIP)
WAR.AIRTRK.MIL.ESCORT,S,*,A,*,ME----,**,**,*,ESCORT
